飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
マクドナルド 元住吉店,ハンバーガー,元住吉駅から徒歩1分, 5:00～翌1:00、5:00～10:30((朝マック)),,,,,,,,,044-411-4354,〒211-0025 神奈川県川崎市中原区木月2-3-1,,https://r.gnavi.co.jp/e836043/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
GYOZA ROCCOMAN 元住吉店,お洒落なビストロ＆餃子,元住吉駅から徒歩2分, ランチ：11:30～14:30(L.O.14:00、ドリンクL.O.14:00)金・土・祝前日 ディナー：17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30),,,,,,,,,050-3492-0270,〒211-0025 神奈川県川崎市中原区木月2-5-14,,https://r.gnavi.co.jp/gwwtrtrv0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
鉄板居酒屋 たいよう,元住吉お好み焼き居酒屋,元住吉駅から徒歩徒歩2分,月～木 18:00～翌1:00(L.O.24:00)金・祝前日 18:00～翌2:00(L.O.1:00)土 17:00～翌2:00(L.O.1:00)日・祝日 17:00～24:00(L.O.23:00),,,,,,,,,044-567-6909,〒211-0025 神奈川県川崎市中原区木月2-5-14 KMGビル1F,,https://r.gnavi.co.jp/btfs773n0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
FRESHNESS BURGER 元住吉店,ハンバーガー,元住吉駅から徒歩徒歩1分, 08:00～23:00,,,,,,,,,044-431-3177,〒211-0025 神奈川県川崎市中原区木月2-5-3 ,,http://r.gnavi.co.jp/mvt5n6as0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
吉野家 元住吉駅前店,牛丼,元住吉駅から徒歩1分,月～日 4:00～翌2:00,,,,,,,,,044-431-5810,〒211-0025 神奈川県川崎市中原区木月2-3-1,,https://r.gnavi.co.jp/ndpyw2y00000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
サイゼリヤ 元住吉駅前店,イタリア料理,元住吉駅から徒歩1分, 11:00～24:00,,,,,,,,,044-431-3202,〒211-0025 神奈川県川崎市中原区木月2-3-35 住吉名店センターB1,,https://r.gnavi.co.jp/gcvx307/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
牡蠣とワインと魚と肉と。 元住吉にて,元住吉×牡蠣×ワイン,元住吉駅から徒歩2分, 17:00～24:00,,,,,,,,,050-3466-4111,〒211-0025 神奈川県川崎市中原区木月2-5-12,,https://r.gnavi.co.jp/8z48twbx0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
カレー専門店 パピー,カレー専門店,元住吉駅から徒歩1分, 11:00～23:00,,,,,,,,,044-433-7399,〒211-0025 神奈川県川崎市中原区木月1-22-6 鶴田ビル2F,,https://r.gnavi.co.jp/gc6p900/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
西安餃子房,餃子専門中華料理,元住吉駅から徒歩2分,月～日 ランチ：11:00～15:00月～日 ディナー：17:00～24:00,,,,,,,,,050-3313-7199,〒211-0025 神奈川県川崎市中原区木月1-33-3,,https://r.gnavi.co.jp/mx06scs80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
大衆酒場 ツネキチ,2番目に美味い大衆酒場,元住吉駅から徒歩2分,土・日・祝 15:00～23:30火～金・祝前日・祝日 17:00～23:30,,,,,,,,,050-3314-2131,〒211-0025 神奈川県川崎市中原区木月2-5-11,,https://r.gnavi.co.jp/3crh3re80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ドトールコーヒーショップ 元住吉東口店,カフェ,元住吉駅から徒歩徒歩1分,土・日・祝日 カフェ：07:30～22:00,,,,,,,,,044-431-1961,〒211-0025 神奈川県川崎市中原区木月2-5-5 ,,https://r.gnavi.co.jp/f06npr9n0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
harao,ワインバー,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-948-6025,〒211-0025 神奈川県川崎市中原区木月2-9-7 ,,https://r.gnavi.co.jp/dnxp3kbb0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
いきなりステーキ元住吉店,ステーキ,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-948-4829,〒211-0025 神奈川県川崎市中原区木月1-22-6 ,,https://r.gnavi.co.jp/pbbebm2u0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
日高屋 元住吉駅前店,熱烈中華食堂,元住吉駅から徒歩1分, 10:00～23:30(L.O.23:00),,,,,,,,,044-435-7361,〒211-0025 神奈川県川崎市中原区木月2-5-6,,https://r.gnavi.co.jp/e995733/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
牛繁 元住吉店,焼肉,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-863-6929,〒211-0025 神奈川県川崎市中原区木月2-5-10 ,,https://r.gnavi.co.jp/m86dfgsc0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
呑み処 夢や,居酒屋,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-455-3328,〒211-0025 神奈川県川崎市中原区木月2-5-10 ,,https://r.gnavi.co.jp/hm72yf5b0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
からやま 元住吉店,鶏料理,元住吉駅から徒歩徒歩1分,月～日・祝日・祝前日 ランチ・ディナー：10:30～21:00(L.O.21:00),,,,,,,,,044-430-0321,〒211-0025 神奈川県川崎市中原区木月1-33-1 ,,https://r.gnavi.co.jp/hxp8nfkc0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
国産牛食べ放題 牛仙 元住吉,川崎元住吉炭火焼肉,元住吉駅から徒歩2分,土・日・祝日 11:30～15:00(L.O.14:30)(年末年始の営業時間  12月31日 21:00L.O 1月1日16:00オープン 1月2日12:00オープン 1月3日12:00オープン 1月4日通常営業)月～木・日 ディナー：17:00～23:00(L.O.22:30)金・土 ディナー：17:00～23:30(L.O.23:00),,,,,,,,,050-3490-9097,〒211-0025 神奈川県川崎市中原区木月1-33-20 豊ビル1F,,https://r.gnavi.co.jp/a564900/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Taverna FRICO（タベルナ フリコ）,イタリアン,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-422-9545,〒211-0025 神奈川県川崎市中原区木月1‐21‐11 矢作ビル1F,,https://r.gnavi.co.jp/gz6t89cn0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
串かつ でんがな 元住吉店,串カツ,元住吉駅から徒歩徒歩1分,月～金 ディナー：15:00～23:30(L.O.23:00)土 ランチ・ディナー：12:00～23:30(L.O.23:00)日 ランチ・ディナー：12:00～22:30(L.O.22:00),,,,,,,,,044-431-3051,〒211-0025 神奈川県川崎市中原区木月2-5-7 ,,https://r.gnavi.co.jp/79c7be220000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ごう 元住吉店,炭火串焼き,元住吉駅から徒歩1分,月～木・日 17:00～翌2:00(L.O.1:30)(春の歓送迎会！！各種宴会コースご予約承り中＾＾)金・土 17:00～翌3:00(L.O.2:30)(焼き職人の一串入魂の串焼きととっておきの日本酒が楽しめる！),,,,,,,,,050-3462-2007,〒211-0025 神奈川県川崎市中原区木月2-5-7 寿美吉ビルB1,,https://r.gnavi.co.jp/a715600/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
さかなの台所 オリエンタル,居酒屋,元住吉駅から徒歩徒歩2分,月～金・日・祝日 居酒屋タイム：17:00～24:00(L.O.23:30)土 居酒屋タイム：16:00～24:00(L.O.23:30),,,,,,,,,044-430-5530,〒211-0025 神奈川県川崎市中原区木月2-7-23 プランドール元住吉1F,,https://r.gnavi.co.jp/kapdujp40000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Bistro Clochette,ビストロ,元住吉駅から徒歩徒歩3分,火～金 ランチ：11:30～15:00(L.O.14:00)火～金 ディナー：18:00～23:00(L.O.22:00)土・日・祝日 ランチ：11:30～15:00(L.O.14:00)土・日・祝日 ディナー：18:00～24:00(L.O.23:00),,,,,,,,,044-572-6847,〒211-0025 神奈川県川崎市中原区木月2-11-8 伊藤ビル1F,,https://r.gnavi.co.jp/mrw0p7tc0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
博多天ぷらなぐや 元住吉店,居酒屋,元住吉駅から徒歩徒歩1分,月～日 11:00～24:00(L.O.23:30),,,,,,,,,046-225-7979,〒211-0025 神奈川県川崎市中原区木月2-3-30 ,,https://r.gnavi.co.jp/74fwccd50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
サンマルクカフェ 神奈川元住吉店,焼きたてパン・珈琲,元住吉駅から徒歩1分,月～金 7:00～22:00土・日・祝 7:30～22:00,,,,,,,,,044-431-6309,〒211-0025 神奈川県川崎市中原区木月1-24-11,,https://r.gnavi.co.jp/gab0776/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
やぶ久,そば,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-433-5588,〒211-0025 神奈川県川崎市中原区木月2-7-21 ,,https://r.gnavi.co.jp/epgaj3k90000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
NINE 元住吉店,イタリアン,元住吉駅から徒歩徒歩2分, ランチ：11:30～14:30(L.O.14:00)、ディナー：17:30～23:00(L.O.22:00)日 ディナー：17:30～22:00(L.O.21:00),,,,,,,,,044-820-6600,〒211-0025 神奈川県川崎市中原区木月1-33-32 K．Forest201,,https://r.gnavi.co.jp/anmsrv3m0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
居酒屋 夕菜,串揚げ,元住吉駅から徒歩徒歩3分,月～金 居酒屋タイム：17:30～翌02:00土・日 居酒屋タイム：17:00～翌02:00,,,,,,,,,044-455-1286,〒211-0025 神奈川県川崎市中原区木月2-7-20 ,,http://r.gnavi.co.jp/9d9va5bb0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
J＆H,ダイニングバー,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-948-6765,〒211-0025 神奈川県川崎市中原区木月2-7-1 Queens Rienda1F,,https://r.gnavi.co.jp/kmu8d69x0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
居酒屋ハイカラ しゅのいち,居酒屋,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-982-9963,〒211-0025 神奈川県川崎市中原区木月2-7-1 クイーンズリエンダ2F,,https://r.gnavi.co.jp/a7bz688r0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
きよ井,居酒屋,元住吉駅から徒歩徒歩2分, 13:00～21:00,,,,,,,,,044-948-8220,〒211-0025 神奈川県川崎市中原区木月1-32-7 ,,https://r.gnavi.co.jp/3zc7jkrb0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
和食と日本酒 シフク,居酒屋,元住吉駅から徒歩徒歩2分, 18:00～24:00,,,,,,,,,044-872-7705,〒211-0025 神奈川県川崎市中原区木月2-7-20 1F,,https://r.gnavi.co.jp/akb2g2hj0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
木月キッチン,野菜料理,元住吉駅から徒歩徒歩1分,火～金 ディナー：17:30～21:30水～土 ランチ：11:30～14:00,,,,,,,,,044-572-3214,〒211-0025 神奈川県川崎市中原区木月2-3-15 ,,https://r.gnavi.co.jp/7swum4bd0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ラ カージュ,バー,元住吉駅から徒歩徒歩1分,月・水～日 20:00～翌04:00,,,,,,,,,044-411-0080,〒211-0025 神奈川県川崎市中原区木月2-2-39 ,,https://r.gnavi.co.jp/8k8d8y2n0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
鳥作 元住吉店,焼き鳥,元住吉駅から徒歩徒歩1分, 16:30～24:00(L.O.23:30),,,,,,,,,044-411-4133,〒211-0025 神奈川県川崎市中原区木月2-2-39 ,,https://r.gnavi.co.jp/frudzfhd0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
亀勢,居酒屋,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-411-5439,〒211-0025 神奈川県川崎市中原区木月1-32-6 ,,https://r.gnavi.co.jp/634hhy2d0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
にはちや,和食,元住吉駅から徒歩徒歩1分,月～木・日 17:00～24:00(L.O.23:00)金・土 17:00～翌1:00(L.O.24:00),,,,,,,,,044-434-3321,〒211-0025 神奈川県川崎市中原区木月1-32-5 ,,http://r.gnavi.co.jp/bk48z6620000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
モスバーガー元住吉店,ハンバーガー,元住吉駅から徒歩徒歩3分,,,,,,,,,,044-411-5979,〒211-0025 神奈川県川崎市中原区木月2-10-2 ,,https://r.gnavi.co.jp/ju6r2kw50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
三代目 鳥メロ 元住吉西口店,居酒屋,元住吉駅から徒歩徒歩2分,月～金 17:00～翌3:00金・土・祝前日 17:00～翌5:00日 16:00～翌3:00,,,,,,,,,044-431-1190,〒211-0025 神奈川県川崎市中原区木月1-32-1 青木ビル2F,,https://r.gnavi.co.jp/ebsrkcb80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
野方ホープ 川崎元住吉店,ラーメン,元住吉駅から徒歩徒歩3分,,,,,,,,,,044-920-9897,〒211-0025 神奈川県川崎市中原区木月2-10-3 ,,https://r.gnavi.co.jp/37p7jhug0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
博多ラーメン 長浜や 元住吉店,ラーメン,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-863-8889,〒211-0025 神奈川県川崎市中原区木月2-2-38 ,,https://r.gnavi.co.jp/6h6he7490000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
金寿し,寿司屋,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-422-3700,〒211-0025 神奈川県川崎市中原区木月1-24-13 元ジュエリーつつみの2F,,https://r.gnavi.co.jp/7e2fr7kf0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
cafe＋cake Baloo,カフェ,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-789-9625,〒211-0025 神奈川県川崎市中原区木月2-7-8 健庄ビル1F,,https://r.gnavi.co.jp/5duff6xy0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
イザカヤミドリ,バル風洋風居酒屋,元住吉駅から徒歩2分, 17:00～24:00,,,,,,,,,050-3373-2186,〒211-0025 神奈川県川崎市中原区木月1-23-13 1F,,https://r.gnavi.co.jp/20a70arv0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
水谷珈琲 元住吉店,カフェ,元住吉駅から徒歩徒歩3分, 10:00～19:00、10:00～14:00(ランチ),,,,,,,,,044-577-4288,〒211-0025 神奈川県川崎市中原区木月1-32-16 1F,,https://r.gnavi.co.jp/gx89mvx70000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
磯丸水産 元住吉オズ通り店,鮮魚・浜焼・めし処,元住吉駅から徒歩1分, ランチ・ディナー：11:30～翌5:00,,,,,,,,,050-3467-6046,〒211-0025 神奈川県川崎市中原区木月2-6-5 元住吉片桐ビル1F,,https://r.gnavi.co.jp/sff4v7xm0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
焼鳥屋 鳥貴族 元住吉店,焼鳥,元住吉駅から徒歩1分, 17:00～翌1:00(L.O.24:30),,,,,,,,,044-789-9855,〒211-0025 神奈川県川崎市中原区木月2-6-5 元住吉片桐ビル2F,,https://r.gnavi.co.jp/9bcwk3950000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ブレーメンストリートキッチン,ダイニングバー,元住吉駅から徒歩徒歩2分,月～金・祝前日 ディナー・バー：18:00～24:00(L.O.23:00)土・日・祝日 ランチ：11:30～14:30(L.O.14:00)土・日・祝日 ディナー・バー：18:00～24:00(L.O.23:00),,,,,,,,,044-948-9955,〒211-0025 神奈川県川崎市中原区木月1-24-24 ,,https://r.gnavi.co.jp/55xxhh6u0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
住吉酒場,居酒屋,元住吉駅から徒歩徒歩4分,,,,,,,,,,044-411-4737,〒211-0025 神奈川県川崎市中原区木月2-11-18 ,,https://r.gnavi.co.jp/95a2hwxc0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
あこ,小料理,元住吉駅から徒歩徒歩3分,,,,,,,,,,044-433-1558,〒211-0025 神奈川県川崎市中原区木月3-21-21 ,,https://r.gnavi.co.jp/8w7wuhjp0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
やきとり本舗 ちきちき 元住吉店,焼き鳥,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-982-0980,〒211-0025 神奈川県川崎市中原区木月1-24-23 豊田ビル103,,https://r.gnavi.co.jp/rdffzz5t0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
広島お好み焼き のん,広島風お好み焼き,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-411-1875,〒211-0025 神奈川県川崎市中原区木月1-24-23 豊田ビル102,,https://r.gnavi.co.jp/2hvawwtz0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
和食 蓬や,アットホームな和食屋,元住吉駅から徒歩徒歩3分,火～土 17:00～23:00(L.O.22:30)日・祝日 17:00～22:00(L.O.21:30),,,,,,,,,044-433-8720,〒211-0025 神奈川県川崎市中原区木月1-24-23 豊田ビル2F,,https://r.gnavi.co.jp/g2r74u5v0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
すし三崎丸 元住吉,寿司屋,元住吉駅から徒歩徒歩2分, 11:00～23:00,,,,,,,,,044-433-5710,〒211-0025 神奈川県川崎市中原区木月1-31-3 元住吉商店街,,https://r.gnavi.co.jp/80zeay5h0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
麺屋 龍,ラーメン,元住吉駅から徒歩徒歩4分,,,,,,,,,,044-387-2666,〒211-0025 神奈川県川崎市中原区木月2-11-26 ,,https://r.gnavi.co.jp/dczr68y70000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
カラオケ バンガローハウス 元住吉店,カラオケ,から徒歩分,,,,,,,,,,044-411-8801,〒211-0025 神奈川県川崎市中原区木月2-17-5 ,,https://r.gnavi.co.jp/kay81e7p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
松崎煎餅 モトスミ ブレーメン通り店 元住吉 ブレーメン通り店,カフェ,元住吉駅から徒歩徒歩2分, 11:00～20:00,,,,,,,,,044-431-8444,〒211-0025 神奈川県川崎市中原区木月1-27-7 ,,https://r.gnavi.co.jp/cmjyzpju0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ひろもと食堂,食堂・定食,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-422-1837,〒211-0025 神奈川県川崎市中原区木月2-6-10 ,,https://r.gnavi.co.jp/kk6fdvfu0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
CoCo壱番屋 中原区元住吉店,カレーハウス,元住吉駅から徒歩2分, 11:00～翌1:00,,,,,,,,,044-430-5850,〒211-0025 神奈川県川崎市中原区木月2-2-31 中野ビル1F,,https://r.gnavi.co.jp/ga0q026/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
中華料理 赤尾飯店,中華料理,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-433-1682,〒211-0025 神奈川県川崎市中原区木月2-18-1 ,,http://r.gnavi.co.jp/8sxwcg6w0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
